full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,target,source
@Koreaboo dear @HYBEOFFICIALtwt @ygent_official @pledis_17 please no more use of @mecimapro . they're pro scammers. they still didn't pay SVTRH venue fee last year day6 Surabaya venue fee and some vendors speak up that @mecimapro stil didn't paid even after year..,1.91894478038331E+018,2025-05-04 08:24:22+00:00,@itsme_freyaa,357308656,en,,2,1,85,726,https://x.com/itsme_freyaa/status/1918944780383310078,"['Koreaboo', 'HYBEOFFICIALtwt', 'ygent_official', 'pledis_17', 'mecimapro', 'mecimapro']",6,Koreaboo,@itsme_freyaa
Day6 sama myday lewat mulu di timeline baca dan nontonin klip klip-nya ikutan sedih. Jahat bgt lu dasar promotor dzolim tanggung jawab lu di akhirat berat eh tapi lu mah udh gada iman sih ya @mecimapro,1.91895086685136E+018,2025-05-04 08:48:33+00:00,@anassheany,148318931,in,,0,0,0,1,https://x.com/anassheany/status/1918950866851373538,['mecimapro'],1,mecimapro,@anassheany
@day6official WE ARE NOT MAD BECAUSE OF THE WEATHER IT S MORE THAN THAT ANJIRLAAAHHHH THE LOCAL PROMOTER IS THE REAL PROBLEM!!! PLEASE DO HEAR US AND STOP WORKING WITH MECIMAPRO,1.91895232333997E+018,2025-05-04 08:54:20+00:00,@dowoonverse,453964461,en,,69,43,2865,17114,https://x.com/dowoonverse/status/1918952323339976935,['day6official'],1,day6official,@dowoonverse
Day6 kemarin langsung minta maaf diatas panggung dan baru aja minta maaf lagi. @mecimapro mel ga malu mel? padahal yg salah siapa mel? coba mel kasih tau mel,1.9189523426464E+018,2025-05-04 08:54:25+00:00,@mwonjeon,1.44829258421272E+018,in,,0,1,0,5,https://x.com/mwonjeon/status/1918952342646403396,['mecimapro'],1,mecimapro,@mwonjeon
Lu ngomong apa ke day6 hah??? @mecimapro,1.91895282561206E+018,2025-05-04 08:56:20+00:00,@lareina_sari,3069113568,in,,0,0,0,1,https://x.com/lareina_sari/status/1918952825612075519,['mecimapro'],1,mecimapro,@lareina_sari
@day6official It's not only the delay schedule and the weather. The biggest problem ia promoter. Please change the local promoter on the next concert in Indonesia. Don't work with @mecimapro again. Thank you #JusticeForMyDay #MECIMA_NOT_PROfessional #KawalRefundMecima #mecimarefundsekarang https://t.co/2KQDUNez2P,1.91895408446112E+018,2025-05-04 09:01:20+00:00,@winterinsm,1.00447949335488E+018,en,,0,1,195,966,https://x.com/winterinsm/status/1918954084461126117,"['day6official', 'mecimapro']",2,day6official,@winterinsm
rasanya gue pengen nyekek melani ama stephanie sekarang lu ngomong apa ke team day6 bangsat tante memek lu @mecimapro,1.91895459333919E+018,2025-05-04 09:03:22+00:00,@melojikwon,1.3491710020984E+018,in,,0,1,0,8,https://x.com/melojikwon/status/1918954593339195689,['mecimapro'],1,mecimapro,@melojikwon
gue nangis bgt anj myday sama day6 diginiin sama dakjal @mecimapro. melanie lu minimal kalau tolol ya goblok aja jngan ikutan sifatlu kek setan anj mampus kata gue bangkrut bangkrut aja katanya lu lagi down kan? bomat jing lu pantes nerima itu semua. #MECIMA_NOT_PROfessional,1.91895747455349E+018,2025-05-04 09:14:49+00:00,@oktitrack,1.13172034496259E+018,in,,0,0,0,0,https://x.com/oktitrack/status/1918957474553507864,['mecimapro'],1,mecimapro,@oktitrack
Sumber masalah terbesarnya malah diem aja nggak ada permintaan maaf dan nggak ada merasa bersalah. Ditunggu permintaan maafnya secara publik ke my day dan day6 @mecimapro,1.91895944409375E+018,2025-05-04 09:22:38+00:00,@sun9denlly,1.44249848000231E+018,in,,0,1,0,0,https://x.com/sun9denlly/status/1918959444093751714,['mecimapro'],1,mecimapro,@sun9denlly
Udh sekacau ini dan kalian masih belum bikin klarifikasi apapun??! Keluar gaak?! Cepet Klarifikasinya dari yang pindah venue uang yang belom dibalikin sampek semua kendala yang terjadi kemarin!! @mecimapro @mecima_shop Masak pihak day6 terus sih yg bikin pernyataan?!,1.91896914519175E+018,2025-05-04 10:01:11+00:00,@natathecocou,7.52851973498547E+017,in,,0,0,0,0,https://x.com/natathecocou/status/1918969145191764469,"['mecimapro', 'mecima_shop']",2,mecimapro,@natathecocou
